100 120
49.4572225506325793276119 49.4572225506325793276119 49.4572225506325793276119
48.7996208548432903739922 48.7996208548432903739922 48.7996208548432903739922
48.1710215434269457546179 48.1710215434269457546179 48.1710215434269457546179
47.5701202192930381329461 47.5701202192930381329461 47.5701202192930381329461
46.995611317746600832379 46.995611317746600832379 46.995611317746600832379
46.4462064909535428114395 46.4462064909535428114395 46.4462064909535428114395
45.9206479421248658923105 45.9206479421248658923105 45.9206479421248658923105
45.4177178081258432484901 45.4177178081258432484901 45.4177178081258432484901
44.9362444751658003383454 44.9362444751658003383454 44.9362444751658003383454
44.4751065346287148827287 44.4751065346287148827287 44.4751065346287148827287
44.033234940561193582198 44.033234940561193582198 44.033234940561193582198
43.6096138121946736987411 43.6096138121946736987411 43.6096138121946736987411
43.2032802297161566684736 43.2032802297161566684736 43.2032802297161566684736
42.8133232953203375359408 42.8133232953203375359408 42.8133232953203375359408
42.4388826709074749032879 42.4388826709074749032879 42.4388826709074749032879
42.0791467556877236688706 42.0791467556877236688706 42.0791467556877236688706
41.733350628964444695157 41.733350628964444695157 41.733350628964444695157
41.4007738534752718351228 41.4007738534752718351228 41.4007738534752718351228
41.0807382112295869092122 41.0807382112295869092122 41.0807382112295869092122
40.7726054254653007546949 40.7726054254653007546949 40.7726054254653007546949
40.4757749080896260807094 40.4757749080896260807094 40.4757749080896260807094
40.1896815609149271608658 40.1896815609149271608658 40.1896815609149271608658
39.9137936504716464014564 39.9137936504716464014564 39.9137936504716464014564
39.6476107696339923336382 39.6476107696339923336382 39.6476107696339923336382
39.3906618943052038162023 39.3906618943052038162023 39.3906618943052038162023
1.06984774815093541810995 1.06984774815093541810995 1.06984774815093541810995
1.07637414954655064036615 1.07637414954655064036615 1.07637414954655064036615
1.08313239207691403009903 1.08313239207691403009903 1.08313239207691403009903
1.09013417967936176999899 1.09013417967936176999899 1.09013417967936176999899
1.09739194059750055920688 1.09739194059750055920688 1.09739194059750055920688
1.10491887521800502547364 1.10491887521800502547364 1.10491887521800502547364
1.11272900632978699597686 1.11272900632978699597686 1.11272900632978699597686
1.12083723163997150962246 1.12083723163997150962246 1.12083723163997150962246
1.12925937827057110141027 1.12925937827057110141027 1.12925937827057110141027
1.13801225881463619060696 1.13801225881463619060696 1.13801225881463619060696
1.14711372834140878929077 1.14711372834140878929077 1.14711372834140878929077
1.1565827414945473172736 1.1565827414945473172736 1.1565827414945473172736
1.16643940851092464683347 1.16643940851092464683347 1.16643940851092464683347
1.1767050485806731519034 1.1767050485806731519034 1.1767050485806731519034
1.18740223844865466773513 1.18740223844865466773513 1.18740223844865466773513
1.19855485349359258684387 1.19855485349359258684387 1.19855485349359258684387
1.21018809767749857542185 1.21018809767749857542185 1.21018809767749857542185
1.22232851768956329863158 1.22232851768956329863158 1.22232851768956329863158
1.23500399526063664445985 1.23500399526063664445985 1.23500399526063664445985
1.24824370993069155844069 1.24824370993069155844069 1.24824370993069155844069
1.26207806243344689001162 1.26207806243344689001162 1.26207806243344689001162
1.27653854622851015143681 1.27653854622851015143681 1.27653854622851015143681
1.29165755145826799399345 1.29165755145826799399345 1.29165755145826799399345
1.30746808162325245383784 1.30746808162325245383784 1.30746808162325245383784
1.32400335844357952552741 1.32400335844357952552741 1.32400335844357952552741
1.34129628460838401515787 1.34129628460838401515787 1.34129628460838401515787
1.35937872735321563233413 1.35937872735321563233413 1.35937872735321563233413
1.37828057807381987309725 1.37828057807381987309725 1.37828057807381987309725
1.39802853466019350037186 1.39802853466019350037186 1.39802853466019350037186
1.4186445443451281001046 1.4186445443451281001046 1.4186445443451281001046
1.44014383643208732088681 1.44014383643208732088681 1.44014383643208732088681
1.46253246772525202779036 1.46253246772525202779036 1.46253246772525202779036
1.48580430112537054121447 1.48580430112537054121447 1.48580430112537054121447
1.50993734316499561565195 1.50993734316499561565195 1.50993734316499561565195
1.534889384251595600972 1.534889384251595600972 1.534889384251595600972
1.56059292286930628712582 1.56059292286930628712582 1.56059292286930628712582
1.58694942052946430521843 1.58694942052946430521843 1.58694942052946430521843
1.61382303756360134805448 1.61382303756360134805448 1.61382303756360134805448
1.64103415002239927389383 1.64103415002239927389383 1.64103415002239927389383
1.66835314999514161549143 1.66835314999514161549143 1.66835314999514161549143
1.69549528074713062864021 1.69549528074713062864021 1.69549528074713062864021
1.72211753139029699610774 1.72211753139029699610774 1.72211753139029699610774
1.7478188635804410289154 1.7478188635804410289154 1.7478188635804410289154
1.77214518201575144118465 1.77214518201575144118465 1.77214518201575144118465
1.79460037857014209627948 1.79460037857014209627948 1.79460037857014209627948
1.81466435595955810633484 1.81466435595955810633484 1.81466435595955810633484
1.83181808814813806840505 1.83181808814813806840505 1.83181808814813806840505
1.84557452197428917273214 1.84557452197428917273214 1.84557452197428917273214
1.85551265255910702300923 1.85551265255910702300923 1.85551265255910702300923
1.86131077582613047027849 1.86131077582613047027849 1.86131077582613047027849
1.86277419702840263404653 1.86277419702840263404653 1.86277419702840263404653
1.85985294613767804250415 1.85985294613767804250415 1.85985294613767804250415
1.8526464382670848607404 1.8526464382670848607404 1.8526464382670848607404
1.84139424732311574040011 1.84139424732311574040011 1.84139424732311574040011
1.82645462917046019768463 1.82645462917046019768463 1.82645462917046019768463
1.80827443395331477482557 1.80827443395331477482557 1.80827443395331477482557
1.78735507297161855255752 1.78735507297161855255752 1.78735507297161855255752
1.76421911487823868114333 1.76421911487823868114333 1.76421911487823868114333
1.73938110865221062795172 1.73938110865221062795172 1.73938110865221062795172
1.71332480488273297680735 1.71332480488273297680735 1.71332480488273297680735
1.68648751599281299107247 1.68648751599281299107247 1.68648751599281299107247
1.65925122648395895197382 1.65925122648395895197382 1.65925122648395895197382
1.63193936143271467464899 1.63193936143271467464899 1.63193936143271467464899
1.60481782382447302204298 1.60481782382447302204298 1.60481782382447302204298
1.57809891683498149106413 1.57809891683498149106413 1.57809891683498149106413
1.55194695390559411762865 1.55194695390559411762865 1.55194695390559411762865
1.52648462327087619527788 1.52648462327087619527788 1.52648462327087619527788
1.50179944285729138897523 1.50179944285729138897523 1.50179944285729138897523
1.47794987633712326946522 1.47794987633712326946522 1.47794987633712326946522
1.45497086578450840477217 1.45497086578450840477217 1.45497086578450840477217
1.43287867007407965225241 1.43287867007407965225241 1.43287867007407965225241
1.41167498778481514953853 1.41167498778481514953853 1.41167498778481514953853
1.39135039851365371887937 1.39135039851365371887937 1.39135039851365371887937
1.37188718661971620349505 1.37188718661971620349505 1.37188718661971620349505
1.35326162452231235633349 1.35326162452231235633349 1.35326162452231235633349
1.33544579495435145055637 1.33544579495435145055637 1.33544579495435145055637
1.31840902749785637837476 1.31840902749785637837476 1.31840902749785637837476
1.30211901735111790223698 1.30211901735111790223698 1.30211901735111790223698
1.28654268557030793118656 1.28654268557030793118656 1.28654268557030793118656
1.27164683119186516790933 1.27164683119186516790933 1.27164683119186516790933
1.25739861734922864222597 1.25739861734922864222597 1.25739861734922864222597
1.24376592607856095717977 1.24376592607856095717977 1.24376592607856095717977
1.23071761008055546859907 1.23071761008055546859907 1.23071761008055546859907
1.21822366426186956545052 1.21822366426186956545052 1.21822366426186956545052
1.20625533534645490441051 1.20625533534645490441051 1.20625533534645490441051
1.19478518411954537370434 1.19478518411954537370434 1.19478518411954537370434
1.18378711183262641526426 1.18378711183262641526426 1.18378711183262641526426
1.17323635984651741814844 1.17323635984651741814844 1.17323635984651741814844
1.16310948962265769957014 1.16310948962265769957014 1.16310948962265769957014
1.15338434860218175259661 1.15338434860218175259661 1.15338434860218175259661
1.14404002626433953793139 1.14404002626433953793139 1.14404002626433953793139
1.13505680366784944546055 1.13505680366784944546055 1.13505680366784944546055
1.12641609899962924501438 1.12641609899962924501438 1.12641609899962924501438
1.11810041104289825675266 1.11810041104289825675266 1.11810041104289825675266
1.11009326199697655468412 1.11009326199697655468412 1.11009326199697655468412
1.102379140706796656346 1.102379140706796656346 1.102379140706796656346
1.09494344706911794773418 1.09494344706911794773418 1.09494344706911794773418
1.08777243815725643827363 1.08777243815725643827363 1.08777243815725643827363
1.080853176432795548223 1.080853176432795548223 1.080853176432795548223
1.07417348028008219351648 1.07417348028008219351648 1.07417348028008219351648
101.015288446115008014203 101.015288446115008014203 101.015288446115008014203
101.599243538572011402721 101.599243538572011402721 101.599243538572011402721
102.203877779934657610283 102.203877779934657610283 102.203877779934657610283
102.830229993686131706454 102.830229993686131706454 102.830229993686131706454
103.479402771622488899084 103.479402771622488899084 103.479402771622488899084
104.152566617493079093038 104.152566617493079093038 104.152566617493079093038
104.850964288336214735864 104.850964288336214735864 104.850964288336214735864
105.575915315963186458248 105.575915315963186458248 105.575915315963186458248
106.328820680783380225876 106.328820680783380225876 106.328820680783380225876
107.111167596768837029231 107.111167596768837029231 107.111167596768837029231
107.924534348974930253462 107.924534348974930253462 107.924534348974930253462
108.770595102607089188496 108.770595102607089188496 108.770595102607089188496
109.651124573808502304928 109.651124573808502304928 109.651124573808502304928
110.568002415472747657077 110.568002415472747657077 110.568002415472747657077
111.523217124381858411653 111.523217124381858411653 111.523217124381858411653
112.51886921623979276319 112.51886921623979276319 112.51886921623979276319
113.55717333954497405557 113.55717333954497405557 113.55717333954497405557
114.640458903806887747123 114.640458903806887747123 114.640458903806887747123
115.771168677640389432781 115.771168677640389432781 115.771168677640389432781
116.951854662087271208293 116.951854662087271208293 116.951854662087271208293
118.185170357439773169972 118.185170357439773169972 118.185170357439773169972
119.473858310168893126502 119.473858310168893126502 119.473858310168893126502
120.820731541710813417012 120.820731541710813417012 120.820731541710813417012
